followers,following,is_public,post_count,story_freq,city_tier,party_freq,cafe_freq,travel_freq,gym_freq,is_influencer,dm_open,toxic_ex,daddy_issues,mommy_issues,therapy_issues,situationship_lore,soft_launch_history,astrology_phase,friend_circle_size,spotify_vibe,random_chaos,bio_type,body_count
9605,1920,0,153,2,3,5,2,5,0,1,1,0,0,0,1,1,1,0,1,0,0.2739110631482303,0,15
6285,135,0,422,3,3,0,4,4,0,0,0,1,0,1,1,0,0,1,2,1,0.5379332261507932,0,8
5536,812,1,365,5,3,3,4,1,1,0,0,1,0,0,1,1,1,0,3,2,0.4956565271540635,2,20
7149,439,0,693,5,3,3,4,4,4,1,1,0,0,0,0,0,0,1,1,1,0.6146629336226703,0,14
9720,1253,1,146,5,3,4,5,2,2,1,1,1,1,0,1,0,1,0,3,4,0.48473532040514467,1,20
10798,768,1,733,1,1,5,1,5,1,0,1,0,1,1,0,0,1,0,3,1,0.1300562713879304,1,18
825,2953,0,793,5,1,3,4,5,3,0,1,0,0,1,1,0,1,0,2,4,0.13750888276941708,1,12
12256,198,1,126,3,2,3,2,0,2,1,1,1,1,0,1,0,1,0,1,3,0.22895441563133434,0,16
8276,632,0,307,4,2,0,3,0,0,1,1,0,0,1,1,0,0,1,3,2,0.23336257698806773,0,12
14591,170,1,714,1,1,2,1,3,2,0,0,0,1,1,1,0,1,1,2,4,0.5724940743760603,0,14
3202,2862,0,117,1,2,4,2,1,1,0,0,1,0,1,1,0,1,1,2,2,0.6375358272385798,1,10
10197,2702,1,572,4,1,4,0,3,4,0,0,1,1,0,1,1,1,0,3,1,0.09693958663508484,0,19
1635,2353,0,230,3,1,1,2,2,4,0,1,0,1,1,0,0,0,0,3,4,0.4384325182677843,0,7
3993,815,0,450,2,1,3,3,1,5,0,1,1,0,0,1,0,1,0,3,4,0.5515698276615669,0,15
7605,2961,1,499,0,1,3,1,0,3,0,0,0,0,1,0,1,1,1,2,2,0.8775817596332534,0,18
3123,849,1,661,3,2,0,3,4,1,1,0,0,0,1,1,1,1,0,1,0,0.371487675405205,0,15
1071,2156,1,144,4,3,3,5,4,5,0,1,0,0,0,1,0,0,0,3,4,0.684254782034789,0,9
11703,1071,0,622,5,2,1,0,2,2,0,0,0,1,0,0,0,0,1,3,2,0.7790475545592949,1,10
10855,1519,0,678,5,2,0,0,2,0,1,1,0,1,0,0,0,0,1,1,2,0.06571506890117762,0,10
13467,2485,1,700,4,1,4,5,1,2,1,0,1,1,0,1,0,1,1,1,3,0.9162687570117952,0,20
3893,1159,0,48,5,2,3,0,0,2,1,0,0,0,0,1,1,0,1,1,0,0.3475768718211226,2,16
8039,2883,0,106,4,3,3,5,4,0,1,1,1,1,0,1,1,0,1,3,4,0.10671676205493219,1,19
9742,1300,1,92,1,2,1,5,1,3,0,0,1,1,1,1,0,0,0,3,1,0.863836169451542,1,11
13040,2690,0,635,2,1,5,5,5,5,1,1,0,0,0,0,0,0,0,1,2,0.9841357324726256,1,14
14787,1699,0,139,1,3,1,2,5,4,1,1,1,1,0,0,0,0,0,3,4,0.26380398390772997,1,13
6923,1865,0,313,1,3,0,2,5,5,1,1,1,1,1,0,1,0,1,1,3,0.15268903251644206,1,16
5725,1395,1,10,1,1,4,4,1,4,1,1,0,0,1,0,1,1,0,1,3,0.7064124170523989,2,20
211,1391,0,447,4,1,5,0,1,5,0,0,0,0,1,0,1,0,1,2,3,0.00972613176056103,1,10
4347,2663,1,394,3,1,5,3,3,5,0,0,0,0,0,0,1,1,1,3,2,0.7951131594776305,2,19
10223,2496,0,504,0,1,1,0,1,2,1,0,1,0,0,1,1,1,1,1,3,0.594335342437464,1,17
1045,1782,0,377,0,3,1,1,5,5,0,1,1,0,0,1,1,1,1,1,4,0.9761512572973373,1,13
14655,948,0,360,2,3,4,2,1,1,1,0,1,1,1,0,0,1,1,3,4,0.673665948081502,1,15
13153,2390,0,682,2,2,2,0,5,4,1,1,0,1,1,0,1,0,1,1,3,0.35686027491995986,2,14
11584,534,0,547,4,3,0,4,5,5,0,0,1,1,0,0,1,1,0,3,1,0.4616193543920635,0,14
12793,852,1,641,0,2,5,0,1,3,1,1,0,0,1,1,0,1,0,2,0,0.3557889426850327,0,14
7679,1765,0,572,3,1,2,4,1,3,0,0,0,0,0,0,1,1,0,2,0,0.726974082968654,1,16
12040,1965,0,560,4,2,4,2,3,0,0,1,1,1,0,1,1,1,0,1,2,0.7794379621287486,0,19
9517,1807,0,395,2,3,5,2,2,1,1,1,0,1,0,0,0,0,0,3,3,0.21909109151562134,1,12
1066,1859,0,185,4,3,5,4,5,4,1,0,1,1,0,1,0,1,0,3,3,0.46050868999679484,2,12
7919,2987,1,220,2,1,3,5,3,1,0,1,0,1,1,1,0,0,1,1,3,0.281782418070064,0,15
6489,2341,0,517,0,2,5,1,1,4,0,0,0,0,1,1,0,1,0,3,4,0.3042044980273467,1,13
7942,1493,0,299,4,1,0,5,2,0,1,0,1,0,0,0,0,1,0,3,0,0.7881948264347304,2,18
6913,2002,0,174,1,3,4,5,3,1,1,0,0,0,1,0,1,1,0,1,0,0.059979918449457714,2,16
7966,2913,0,790,5,2,4,2,0,1,1,0,0,0,1,0,1,0,0,3,4,0.5740554242061304,0,16
8579,2370,1,370,2,1,5,4,0,4,0,0,1,1,1,0,0,0,1,2,4,0.41473993460252345,1,17
928,1720,1,508,1,2,0,2,1,2,1,1,1,0,0,0,0,0,1,2,0,0.44783979014311315,1,12
9318,1898,0,203,2,2,2,0,1,4,0,0,1,0,0,0,1,1,0,2,0,0.6452428368400361,1,16
4937,569,0,607,1,1,3,3,4,1,0,1,1,0,1,0,1,0,0,3,4,0.5164280220613026,1,14
12235,1201,0,281,0,3,2,1,0,0,1,1,1,1,1,1,0,1,1,2,0,0.3043709177557431,1,14
14602,1446,0,646,0,1,1,3,2,0,1,1,1,0,1,0,1,1,0,1,2,0.8985308763562989,0,17
4909,2665,0,415,3,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,3,0.5202192957176356,0,15
6381,2735,1,32,3,1,1,0,5,2,0,1,0,0,1,0,1,0,1,3,2,0.7359289896648086,2,17
8621,2256,1,81,3,1,0,4,5,1,1,1,1,0,0,0,0,0,0,3,3,0.9301630672794423,1,18
8734,701,0,482,4,2,5,5,4,2,1,0,0,0,1,0,1,1,1,3,1,0.9948111023979371,0,17
7258,2273,0,147,2,2,1,4,0,0,1,0,1,0,0,0,1,0,0,2,1,0.4040701801022457,2,15
5326,2000,0,606,4,2,4,4,3,1,0,0,1,1,1,0,1,0,0,1,2,0.144282326389362,0,13
2112,2717,1,494,3,1,5,0,3,5,0,0,0,0,0,0,1,0,1,3,3,0.8699744968187014,2,15
12126,260,0,169,2,1,5,5,2,5,0,1,0,1,0,0,0,0,0,3,0,0.44000777773632005,1,13
114,2544,0,722,4,2,5,3,3,2,0,0,0,1,0,0,0,1,1,1,0,0.13200885316288324,1,9
8056,635,1,702,0,2,1,2,1,0,1,0,1,0,0,1,1,1,1,2,0,0.6563514487270321,2,20
2618,216,1,6,2,1,4,5,1,2,0,1,1,1,0,0,1,0,1,2,1,0.5966323169776652,1,16
5513,2557,0,379,3,1,4,5,4,0,1,0,0,0,1,1,1,1,1,2,3,0.13774292840302815,1,17
13490,1306,0,433,0,1,2,4,3,5,1,1,1,1,1,1,0,1,0,3,3,0.11591988037185763,2,17
2077,1255,0,33,2,1,5,2,4,1,1,0,1,1,0,1,0,1,0,3,0,0.943677359909485,1,17
2745,1788,0,562,4,1,5,3,0,0,1,1,1,0,0,1,0,1,0,2,3,0.6687262077900826,0,17
9737,1102,1,631,5,2,3,2,3,5,0,0,1,0,1,0,1,1,1,2,1,0.9212274227999244,2,20
5308,763,1,137,5,1,5,2,2,3,1,1,0,0,1,0,0,1,0,1,3,0.30712436092245143,0,20
5668,2938,0,366,3,1,2,5,2,4,1,0,1,0,0,1,0,1,1,3,1,0.6065415784708107,0,14
6786,2965,1,105,4,2,2,2,0,0,1,1,0,0,0,0,0,1,0,2,4,0.3064148501994214,2,18
441,737,0,793,0,2,4,0,1,3,1,0,0,0,1,1,1,0,0,1,4,0.9509132345407743,0,9
14036,379,1,31,0,2,3,3,1,2,0,1,1,0,1,0,0,1,1,3,0,0.2715490252419638,2,17
12756,1796,0,635,0,1,4,2,1,5,1,0,0,1,0,1,1,0,0,3,2,0.48411701559976794,0,16
14674,1257,0,681,2,3,5,4,3,5,1,0,1,1,1,0,0,1,1,2,2,0.7083456880053882,1,15
12716,2192,1,523,3,2,3,4,4,4,1,0,1,1,1,1,0,1,1,1,2,0.15547552429743583,0,16
5942,834,1,167,5,1,1,5,0,0,1,1,1,0,1,1,0,1,0,1,4,0.6176753713017415,1,18
3611,2746,1,77,0,1,4,3,5,0,0,0,0,0,0,1,1,1,0,2,3,0.42173813109989267,1,16
10520,2450,1,545,4,1,2,5,3,1,1,0,0,1,1,1,1,0,1,3,4,0.8026993719802229,0,15
6234,990,1,208,3,3,4,0,2,0,0,1,1,0,0,1,0,1,0,1,3,0.6017434212022771,1,15
3149,1338,0,410,5,2,0,2,4,4,1,0,0,0,0,0,1,1,0,2,2,0.09970235240863046,1,13
6328,1729,0,7,4,1,0,0,4,2,0,0,1,0,0,1,1,0,0,3,3,0.16284225977770972,2,15
8442,2743,1,736,4,1,0,3,3,1,1,1,1,0,0,0,0,0,1,2,2,0.25829305225960153,0,17
14201,675,0,226,0,3,2,1,2,4,1,1,1,1,0,0,1,1,1,2,4,0.3452002306366233,0,15
13117,188,0,174,3,2,2,4,4,0,0,1,1,1,0,1,0,1,0,1,4,0.43009224002319435,0,10
3154,2813,0,80,1,1,0,2,3,5,0,1,1,0,0,0,1,1,0,1,0,0.6698754190526883,0,13
7265,811,0,793,2,2,5,2,2,4,1,1,0,0,1,1,0,0,1,2,3,0.35919913082457344,2,13
12840,1883,1,56,1,1,2,3,5,4,1,0,1,1,1,0,0,0,0,1,0,0.4592029121815403,2,16
2504,2352,0,134,2,2,5,3,3,5,1,0,1,1,0,1,0,0,1,1,4,0.900308639456577,1,12
11887,1605,0,237,3,2,2,5,5,2,1,0,1,1,1,0,0,1,0,2,0,0.19200005285973798,1,12
14089,725,0,471,5,3,2,5,2,5,1,1,1,1,1,0,1,1,1,2,1,0.484803262400894,1,19
9046,141,0,216,0,2,0,5,0,5,0,0,0,0,0,1,1,0,0,2,1,0.32728894940253006,0,9
14484,1142,1,738,3,1,1,0,5,0,0,1,0,0,0,1,0,0,1,2,2,0.8068219449082342,2,13
2781,86,0,25,1,3,5,5,1,3,1,0,1,0,1,1,1,0,0,3,3,0.02823466513292372,2,15
14233,1837,0,186,4,3,5,4,3,5,0,1,1,0,1,0,0,1,1,2,1,0.1624464691834866,0,16
11015,2237,0,629,2,2,1,0,3,1,1,0,0,0,1,0,1,0,1,2,2,0.2931825057082226,0,12
8204,2964,1,708,2,1,3,3,3,5,0,1,1,0,1,1,0,0,1,2,0,0.8707242423427318,0,16
9812,2777,1,115,1,3,4,4,3,5,0,1,0,0,1,1,0,1,0,1,0,0.6967652368772715,2,14
5106,1251,0,613,0,1,1,3,0,2,0,1,1,0,0,1,0,0,0,1,1,0.4135228614368561,2,13
14998,1886,0,162,3,1,3,5,5,1,0,1,1,0,1,0,1,1,0,1,0,0.9158994934694897,2,20
8160,1944,1,413,1,1,1,0,1,5,0,0,0,1,0,0,0,0,0,2,1,0.4639547805661003,2,14
13823,186,0,177,3,1,0,5,5,0,1,0,1,1,1,0,1,1,1,2,0,0.1379882470681114,2,18
10932,2287,1,279,0,3,3,0,1,5,1,0,1,0,0,0,1,1,1,3,3,0.7022439186572438,1,20
3890,1713,0,797,4,1,0,0,4,5,1,0,0,1,1,1,0,0,0,2,3,0.9181191937413509,1,12
1078,2439,0,211,3,1,0,1,0,1,1,0,1,1,0,0,0,0,0,3,4,0.09330961365642965,0,7
7435,1632,1,53,0,2,3,0,1,4,1,1,0,0,1,1,1,0,1,1,1,0.3130823176671246,1,17
552,1021,0,66,1,2,5,2,1,4,0,0,0,1,0,0,1,0,0,3,4,0.7043511898955759,1,9
6960,711,0,543,5,3,5,0,2,4,0,1,1,1,0,1,0,1,0,1,1,0.19848790432766816,0,15
12735,2340,0,762,4,1,3,5,5,3,1,0,0,1,1,0,0,0,0,1,2,0.331917350766479,0,13
9112,1860,1,519,4,1,1,3,2,4,0,1,0,0,1,0,1,1,0,3,0,0.6638155650272961,1,20
6988,464,1,498,4,2,1,5,0,4,1,1,0,0,1,0,1,1,1,3,1,0.03152347584092152,0,19
4538,2804,0,430,2,1,4,0,0,0,0,1,1,1,1,0,1,1,0,2,1,0.8405447440656574,0,15
256,392,0,726,5,1,1,3,1,4,1,1,0,1,1,0,0,1,1,3,2,0.001909779286822788,0,12
5184,2779,0,45,0,3,5,3,2,3,0,0,0,0,0,0,0,0,1,2,4,0.32934266107611876,0,8
6027,2750,0,591,3,2,3,5,2,3,1,0,1,1,1,0,1,0,0,2,2,0.25011665416233764,2,19
7771,195,1,34,1,2,1,4,1,2,0,1,0,0,0,0,1,1,0,3,4,0.7824749616683104,1,14
7085,372,1,188,4,2,3,1,1,3,1,1,0,0,1,0,0,0,1,3,3,0.029585835015627282,2,18
1534,2219,1,88,4,2,4,3,4,4,1,1,0,0,1,1,0,0,1,1,1,0.8684490702340082,2,13
7908,1325,0,334,4,1,3,3,3,1,0,0,1,0,1,0,1,1,1,1,0,0.44561734692016386,0,17
913,1928,0,135,0,1,4,2,5,2,1,0,1,0,1,0,0,1,1,2,3,0.72111425585301,2,13
2840,2408,1,545,1,1,4,0,0,3,0,0,0,1,0,0,0,0,1,2,4,0.23960766729850835,0,11
7458,650,0,792,0,3,4,1,0,2,1,1,1,1,0,1,0,1,1,1,3,0.7111250680160346,2,18
8805,524,0,112,1,2,0,1,4,0,0,1,1,0,0,0,1,0,1,2,0,0.15349785480745648,1,15
5166,2667,1,171,3,2,5,5,2,4,1,0,1,0,1,0,0,1,1,1,2,0.6710356446747296,2,18
12433,1565,0,338,2,1,2,4,5,4,1,0,0,1,1,1,1,0,1,2,2,0.6814245928077005,2,16
6069,624,1,554,1,1,5,3,3,5,0,1,1,0,0,1,1,0,1,1,4,0.9547472086437135,2,20
1807,396,0,524,5,3,3,3,2,5,1,0,1,0,0,1,1,1,1,1,2,0.7071021135650932,1,17
14870,2917,0,173,0,3,5,2,4,2,1,0,0,0,1,1,0,0,0,3,0,0.8424213415204418,2,11
7624,1560,0,636,0,1,1,1,4,3,0,0,0,0,1,0,1,1,1,2,2,0.06657590749165576,2,14
6424,431,0,331,0,3,2,0,4,1,1,0,0,1,0,1,1,1,0,3,1,0.5981061251981962,0,14
6942,1353,0,206,2,1,5,4,0,3,1,1,0,0,0,0,0,0,1,3,0,0.3611125299812208,0,12
1728,121,1,342,1,1,2,4,0,2,0,0,1,1,0,0,0,1,0,3,4,0.29520866939170887,0,10
3292,2618,1,103,1,1,5,4,2,5,0,0,0,0,0,1,0,1,0,2,4,0.1617218185428554,0,13
4686,1167,0,641,1,3,0,4,5,3,0,0,0,0,1,1,0,0,0,3,4,0.23342016205164817,0,6
1109,1446,0,39,1,2,3,5,1,2,0,1,0,1,1,1,0,0,0,1,0,0.6036270349856363,0,5
6718,2436,1,22,4,3,3,1,0,4,1,1,1,0,0,1,1,0,0,1,3,0.7385271141522782,2,20
13521,1409,1,251,4,1,1,3,5,4,1,0,0,0,0,0,0,0,1,2,0,0.5147000716995858,1,14
9964,713,0,289,5,2,0,1,3,4,1,0,1,1,1,1,1,1,0,3,2,0.38212604775697046,2,17
11556,1565,1,201,0,1,5,5,3,2,0,1,1,0,0,1,1,1,1,3,3,0.827426366632459,0,20
3207,1941,1,154,4,1,5,0,3,5,1,0,0,1,1,1,0,0,1,3,0,0.5774871479909426,0,13
5965,89,1,566,1,1,5,4,4,4,0,0,0,1,1,1,0,0,0,1,2,0.8081313018449062,1,15
10867,1432,0,105,1,3,5,5,2,0,0,0,1,0,0,1,1,0,1,1,4,0.3778341735134526,0,13
10971,2080,1,259,4,2,2,1,4,1,0,0,0,0,1,0,1,0,1,3,2,0.635339167697583,2,15
14942,2671,1,199,3,1,5,0,3,2,0,0,1,1,1,1,1,1,0,2,3,0.9605907639977135,1,19
9839,1327,1,216,5,1,3,2,3,5,0,0,1,0,1,1,1,1,1,3,1,0.06457554581863845,1,20
11302,1015,1,410,0,3,0,4,4,5,0,1,0,1,0,0,0,0,1,2,4,0.672347288008422,2,13
2743,2678,0,558,2,1,4,5,3,4,0,1,0,0,0,0,1,1,1,3,1,0.7289780320844007,0,14
13133,1950,1,116,5,3,3,3,3,0,0,1,1,0,1,1,1,0,0,1,3,0.05393265915600354,0,19
13389,2267,1,423,0,3,5,3,2,3,1,1,0,1,0,0,1,0,1,2,4,0.693722311652019,0,15
13981,750,1,211,0,2,2,3,3,1,1,1,0,1,1,1,0,1,1,1,0,0.5699943340730363,0,13
3677,560,0,154,0,2,4,0,4,5,0,0,0,0,1,0,1,1,1,3,0,0.2855369247596867,2,15
9605,1333,0,262,5,2,4,1,4,5,1,0,1,0,0,1,0,1,1,1,0,0.3338300716557241,0,15
10223,633,0,506,5,1,5,4,1,1,1,0,0,1,1,0,0,0,0,3,2,0.6320724519374679,2,17
5500,1033,1,150,4,1,4,4,3,4,0,0,1,0,1,0,0,1,1,1,1,0.5087245195142801,0,16
1713,508,1,211,0,1,5,5,1,2,0,0,1,1,0,1,1,0,0,1,2,0.9157653553236773,1,15
9771,2626,1,191,1,3,2,4,5,5,0,1,0,1,1,1,1,1,0,3,0,0.9712654698820854,1,16
10280,1955,0,754,0,2,0,4,4,2,0,0,0,1,0,0,0,1,1,1,4,0.5972473308335929,1,8
5642,2438,1,97,1,1,3,2,1,0,0,0,0,1,0,0,0,1,0,3,1,0.5005453000082971,0,14
11544,2154,1,540,4,2,0,5,5,2,0,1,1,1,1,0,0,0,1,1,3,0.700140576951674,1,14
10479,2315,0,700,4,1,5,4,3,4,1,1,1,1,1,1,0,1,1,2,4,0.006908957324190945,2,20
7442,2716,1,171,0,3,2,2,0,1,0,0,1,0,1,0,1,0,0,2,2,0.7663103816440032,0,13
13746,865,1,370,5,1,1,1,2,1,1,1,1,0,1,0,1,1,1,1,3,0.011024386058885338,0,20
13738,2828,0,708,1,2,5,3,5,1,0,0,0,1,0,0,1,1,1,1,3,0.632367851334223,1,13
1356,2561,0,154,1,1,3,2,3,4,1,1,1,0,1,1,1,0,1,3,4,0.22505147706640605,1,15
12271,296,0,139,1,2,3,3,1,3,1,0,1,0,0,1,1,0,0,2,1,0.9087783245708805,0,14
6826,779,0,255,1,1,5,3,1,4,0,0,0,0,0,0,0,1,0,2,0,0.3113823632802326,2,15
10917,2470,0,675,2,1,1,0,5,1,0,1,1,1,0,0,0,0,0,1,2,0.21658094333622302,1,11
13310,466,1,645,4,2,4,2,1,1,1,0,0,1,1,0,0,1,1,3,2,0.9291996285116357,0,14
5914,1104,0,415,1,2,3,4,5,2,0,0,1,1,0,0,1,1,1,3,0,0.27616971623346354,1,15
9524,417,1,328,2,3,3,5,4,1,0,0,1,0,0,1,0,0,1,3,2,0.4657458188035387,1,12
7576,2656,1,377,2,2,5,0,3,5,0,0,0,0,0,0,1,0,0,3,0,0.6055475017976417,1,15
8951,157,0,265,4,2,3,4,1,0,1,1,0,0,1,1,1,0,0,2,3,0.755628700292612,1,16
5625,2681,0,540,3,3,2,5,0,4,0,1,1,0,1,1,0,0,1,2,4,0.6761811782388044,2,13
5580,888,1,138,0,3,1,3,3,2,1,1,1,0,1,1,0,1,0,1,0,0.02388755382767238,1,16
12986,467,1,596,4,2,3,0,4,2,1,0,0,0,0,0,0,0,1,1,2,0.9889586930072424,0,12
4463,1693,1,511,3,2,5,4,3,5,1,0,0,1,0,0,0,0,0,3,3,0.7748681904009357,2,11
